Time,Amount,Balance,"Balance, USD",Price
2019-07-01 18:37:25+00:00,1736.65263516,"55,438.80886262 BTC","$564,949,003 @ $10,190.5",10190.5
2019-06-29 00:10:42+00:00,1035.09853848,"53,702.15622746 BTC","$658,851,268 @ $12,268.62",12268.62
2019-06-28 06:43:10+00:00,1155.89623675,"52,667.05768898 BTC","$600,556,100 @ $11,402.88",11402.88
2019-06-27 22:17:15+00:00,1601.95828815,"51,511.16145223 BTC","$575,923,810 @ $11,180.56",11180.56
2019-06-27 16:38:05+00:00,1075.54555019,"49,909.20316408 BTC","$538,687,256 @ $10,793.35",10793.35
2019-06-27 13:03:59+00:00,1177.61595155,"48,833.65761389 BTC","$572,062,847 @ $11,714.52",11714.52
2019-06-26 18:56:12+00:00,2348.90387883,"47,656.04166234 BTC","$652,797,662 @ $13,698.11",13698.11
2019-06-26 16:52:01+00:00,1200.03239002,"45,307.13778351 BTC","$604,279,657 @ $13,337.41",13337.41
2019-06-26 02:24:51+00:00,1009.9109412999999,"44,107.10539349 BTC","$530,454,224 @ $12,026.5",12026.5
2019-06-25 21:37:49+00:00,1042.92041013,"43,097.19445219 BTC","$499,479,972 @ $11,589.62",11589.62
2019-06-24 14:22:20+00:00,2111.53020464,"42,054.27404206 BTC","$458,974,913 @ $10,913.87",10913.87
2019-06-20 22:15:20+00:00,1711.95133448,"39,942.74383742 BTC","$381,455,032 @ $9,550.05",9550.05
2019-06-19 09:51:49+00:00,4849.72262071,"38,230.79250294 BTC","$348,788,951 @ $9,123.25",9123.25
2019-06-17 21:51:17+00:00,1618.77656258,"33,381.06987446 BTC","$310,934,460 @ $9,314.69",9314.69
2019-06-14 16:17:29+00:00,3265.60532753,"31,762.29331188 BTC","$266,075,692 @ $8,377.09",8377.09
2019-06-14 10:18:45+00:00,1762.43539165,"28,496.68798435 BTC","$235,851,178 @ $8,276.44",8276.44
2019-06-13 18:35:00+00:00,1636.38029637,"26,734.2525927 BTC","$220,491,134 @ $8,247.51",8247.51
2019-06-13 10:22:57+00:00,3421.62219792,"25,097.87229633 BTC","$203,132,139 @ $8,093.6",8093.6
2019-06-11 20:32:19+00:00,1588.6054504,"21,676.25009841 BTC","$171,622,801 @ $7,917.55",7917.55
2019-06-07 12:29:20+00:00,1500.04588358,"20,087.64464801 BTC","$159,606,619 @ $7,945.51",7945.51
2019-06-04 16:40:02+00:00,2159.57287699,"18,587.59876443 BTC","$145,631,615 @ $7,834.88",7834.88
2019-06-02 10:23:26+00:00,1997.26120236,"16,428.02588744 BTC","$143,314,919 @ $8,723.81",8723.81
