Time,Amount,Balance,"Balance, USD",Price
2019-07-18 05:48:11+00:00,156.0,"25,128.62166659 BTC","$248,220,358 @ $9,877.99",9877.99
2019-07-16 17:07:08+00:00,708.0,"24,972.62166659 BTC","$242,172,643 @ $9,697.53",9697.53
2019-07-12 22:25:13+00:00,257.0,"24,264.62166659 BTC","$286,542,730 @ $11,809.07",11809.07
2019-07-12 00:54:26+00:00,231.0,"24,007.62166659 BTC","$275,060,010 @ $11,457.2",11457.2
2019-06-28 01:18:13+00:00,746.0,"23,776.62166659 BTC","$267,606,830 @ $11,255.04",11255.04
2019-06-27 09:03:08+00:00,4100.0,"23,030.62166659 BTC","$269,560,656 @ $11,704.45",11704.45
2019-06-09 23:05:18+00:00,52.0,"18,930.62165882 BTC","$143,766,650 @ $7,594.4",7594.4
2019-06-07 00:59:10+00:00,75.0,"18,878.62165882 BTC","$146,973,002 @ $7,785.16",7785.16
2019-05-31 22:51:48+00:00,913.0,"18,803.62165882 BTC","$160,574,400 @ $8,539.55",8539.55
2019-05-31 00:10:28+00:00,39.0,"17,890.62165882 BTC","$149,153,368 @ $8,336.96",8336.96
2019-05-30 04:29:17+00:00,327.0,"17,851.62165882 BTC","$155,704,180 @ $8,722.13",8722.13
2019-05-17 01:26:59+00:00,833.0,"17,524.62155882 BTC","$136,211,691 @ $7,772.59",7772.59
2019-05-13 21:29:39+00:00,943.0,"16,691.62155882 BTC","$134,490,880 @ $8,057.39",8057.39
2019-05-12 23:59:12+00:00,715.0,"15,748.62155882 BTC","$109,132,136 @ $6,929.63",6929.63
2019-05-12 03:57:04+00:00,17.0,"15,033.62155882 BTC","$108,118,619 @ $7,191.79",7191.79
2019-05-11 03:23:59+00:00,493.0,"15,016.62155882 BTC","$99,191,975 @ $6,605.48",6605.48
2019-05-10 05:37:58+00:00,126.0,"14,523.62155882 BTC","$91,412,691 @ $6,294.07",6294.07
2019-05-08 20:56:41+00:00,163.0,"14,397.62155882 BTC","$85,580,966 @ $5,944.1",5944.1
2019-05-06 22:48:50+00:00,147.0,"14,234.62155882 BTC","$81,845,328 @ $5,749.74",5749.74
2019-05-05 19:02:53+00:00,60.0,"14,087.62155882 BTC","$81,196,265 @ $5,763.66",5763.66
2019-05-03 01:28:28+00:00,68.0,"14,027.62155882 BTC","$77,698,720 @ $5,538.98",5538.98
2019-05-02 01:08:45+00:00,26.0,"13,959.62155882 BTC","$75,049,323 @ $5,376.17",5376.17
2019-04-30 20:30:00+00:00,82.0,"13,933.62155882 BTC","$73,926,742 @ $5,305.64",5305.64
2019-04-26 21:18:12+00:00,263.0,"13,851.62155882 BTC","$72,800,698 @ $5,255.75",5255.75
2019-04-24 20:23:05+00:00,374.0,"13,588.62155882 BTC","$73,845,980 @ $5,434.4",5434.4
2019-04-20 19:10:55+00:00,84.0,"13,214.62155882 BTC","$70,338,064 @ $5,322.75",5322.75
2019-04-17 00:11:55+00:00,153.0,"13,130.62155882 BTC","$68,685,389 @ $5,230.93",5230.93
2019-04-13 04:25:18+00:00,15.0,"12,977.62155882 BTC","$66,320,206 @ $5,110.35",5110.35
2019-04-12 00:36:45+00:00,287.0,"12,962.62155882 BTC","$64,652,833 @ $4,987.64",4987.64
2019-04-09 23:38:13+00:00,284.0,"12,675.62155882 BTC","$65,726,616 @ $5,185.28",5185.28
2019-04-05 06:51:39+00:00,1000.0,"12,391.62155882 BTC","$61,430,782 @ $4,957.44",4957.44
2019-04-01 20:40:22+00:00,42.0,"11,391.62155882 BTC","$47,199,508 @ $4,143.35",4143.35
2019-03-30 23:09:23+00:00,64.0,"11,349.62154994 BTC","$46,639,839 @ $4,109.37",4109.37
2019-03-24 03:07:45+00:00,37.0,"11,285.62154994 BTC","$45,026,592 @ $3,989.73",3989.73
2019-03-22 20:30:36+00:00,62.0,"11,248.62154994 BTC","$44,975,585 @ $3,998.32",3998.32
2019-03-22 01:50:13+00:00,25.0,"11,186.62154994 BTC","$44,737,440 @ $3,999.19",3999.19
2019-03-22 01:37:28+00:00,-1.00079138,"11,161.62154994 BTC","$44,637,460 @ $3,999.19",3999.19
2019-03-12 01:33:43+00:00,16.0,"11,162.6223304 BTC","$42,847,073 @ $3,838.44",3838.44
2019-03-09 03:08:51+00:00,122.0,"11,146.6223304 BTC","$43,194,939 @ $3,875.16",3875.16
